phrase;category;intent;geo;ws_msk_base;wsk_msk_final;ws_ru_base;wsk_ru_exact_wk;pos_msk;url;source
диван эльф;Диваны;общий;;385;23;;;6;/catalog/myagkaya-mebel/divanyi/2-h-mestnyiy-divan-elf-2a;arsenkin_sem+keysso
тахта купить псков;Тахты и кушетки;коммерческий;да;97;23;;;26;/catalog/myagkaya-mebel/tahtyi;arsenkin_sem+keysso
стулья для кухни из дерева;Кухни;общий;;387;23;;;32;/catalog/korpusnaya-mebel/stulya;arsenkin_sem+keysso
комод под обувь в прихожую;Прихожие;общий;;95;23;;;23;/catalog/korpusnaya-mebel/tumbyi/f/type--tumba-dlya-obuvi;arsenkin_sem+keysso
тумба тв из массива дерева;Комоды и тумбы;общий;;106;23;;;33;/catalog/korpusnaya-mebel/tumbyi/f/type--tumba-pod-televizor;arsenkin_sem+keysso
мегамолл мебель;Мебель общ.;общий;;169;23;;;23;/shops;arsenkin_sem+keysso
диван 1;Диваны;общий;;34670;23;;25;28;/catalog/myagkaya-mebel/divanyi;arsenkin_sem+keysso
матрас дрим;Матрасы;общий;;2127;23;;19;25;/catalog/matrasyi/matrasyi-drim;arsenkin_sem+keysso
купить диван омега;Диваны;коммерческий;;181;23;;;13;/catalog/myagkaya-mebel/divanyi/3-h-mestnyiy-divan-omega;arsenkin_sem+keysso
белый дуб мебель;Мебель из массива;общий;;2664;23;;25;19;/catalog/korpusnaya-mebel/f/materializgotovleniya--massivduba;arsenkin_sem+keysso
пружины боннель что это такое;Матрасы;общий;;24;23;;;32;/blog/obzor-prujinnyih-blokov-dlya-matrasov;keysso
купить корпусную кухню;Кухни;коммерческий;;409;23;;;24;/catalog/kuhni;arsenkin_sem+keysso
мебель для сидения;Мебель общ.;общий;;2258;23;;17;7;/catalog/myagkaya-mebel/kresla;arsenkin_sem+keysso
полка для цветов напольная деревянная;Мебель из массива;общий;;145;23;;;17;/catalog/korpusnaya-mebel/dekorativnyie-elementyi/f/type--podstavka-dekorativnaya;arsenkin_sem+keysso
тд нарвский мебель каталог;Мебель общ.;коммерческий;;24;23;;;42;/;arsenkin_sem+keysso
большой угловой диван для гостиной;Диваны угловые;общий;;;22;902;;;;expand
тахта с подъемным механизмом 90х200;Тахты и кушетки;общий;;;22;755;;;;expand
кресло кровать дешево;Кресла-кровати;коммерческий;;;22;753;;;;expand
мебельная фабрика е1;Фабрика/производитель;общий;;;22;557;;;;expand
мебельная фабрика бобр официальный сайт;Фабрика/производитель;коммерческий;;;22;502;;;;expand
белорусские производители мебели;Белорусская мебель;общий;;438;22;292;;3;/;arsenkin_sem+expand+keysso
кровать из массива дерева 140х200;Кровати;общий;;;22;280;;;;expand
белорусская мебель в спб каталог;Белорусская мебель;коммерческий;да;154;22;151;;13;/catalog/korpusnaya-mebel/mebel-dlya-spalni;arsenkin_sem+expand+keysso
тахта восточная;Тахты и кушетки;общий;;49;22;61;;25;/catalog/myagkaya-mebel/tahtyi;arsenkin_sem+expand+keysso
мебель из массива дерева купить в москве;Мебель из массива;коммерческий;да;58;22;59;;29;/catalog/mebel-iz-massiva;arsenkin_sem+expand+keysso
диван с функцией релакс;Диваны;общий;;42;22;;;11;/catalog/myagkaya-mebel/divanyi/f/transformation--relax;arsenkin_sem+keysso
диван в рубчик;Диваны;общий;;238;22;;;38;/catalog/myagkaya-mebel/divanyi;arsenkin_sem+keysso
